开始时间,结束时间,活动时间计数,热量（千卡）,距离（米）,心肺强化分数,心肺强化时长（分钟）,最低纬度（度）,最低经度（度）,最高纬度（度）,最高经度（度）,平均速度（米/秒）,最高速度（米/秒）,最低速度（米/秒）,步数,平均体重（公斤）,最高体重（公斤）,最低体重（公斤）,步行时长（毫秒）,跑步时长（毫秒）
00:00:00.000+08:00,00:15:00.000+08:00,,15.750000307467706,,,,,,,,,,,,,,,,
00:15:00.000+08:00,00:30:00.000+08:00,,15.750000307467706,,,,,,,,,,,,,,,,
00:30:00.000+08:00,00:45:00.000+08:00,,15.750000307467706,,,,,,,,,,,,,,,,
00:45:00.000+08:00,01:00:00.000+08:00,,15.750000307467706,,,,,,,,,,,,,,,,
01:00:00.000+08:00,01:15:00.000+08:00,,15.750000307467706,,,,,,,,,,,,,,,,
01:15:00.000+08:00,01:30:00.000+08:00,,15.750000307467706,,,,,,,,,,,,,,,,
01:30:00.000+08:00,01:45:00.000+08:00,,15.750000307467706,,,,,,,,,,,,,,,,
01:45:00.000+08:00,02:00:00.000+08:00,,15.750000307467706,,,,,,,,,,,,,,,,
02:00:00.000+08:00,02:15:00.000+08:00,,15.750000307467706,,,,,,,,,,,,,,,,
02:15:00.000+08:00,02:30:00.000+08:00,,15.750000307467706,,,,,,,,,,,,,,,,
02:30:00.000+08:00,02:45:00.000+08:00,,15.750000307467706,,,,,,,,,,,,,,,,
02:45:00.000+08:00,03:00:00.000+08:00,,15.750000307467706,,,,,,,,,,,,,,,,
03:00:00.000+08:00,03:15:00.000+08:00,,15.750000307467706,,,,,,,,,,,,,,,,
03:15:00.000+08:00,03:30:00.000+08:00,,15.750000307467706,,,,,,,,,,,,,,,,
03:30:00.000+08:00,03:45:00.000+08:00,,15.750000307467706,,,,,,,,,,,,,,,,
03:45:00.000+08:00,04:00:00.000+08:00,,15.750000307467706,,,,,,,,,,,,,,,,
04:00:00.000+08:00,04:15:00.000+08:00,,15.750000307467706,,,,,,,,,,,,,,,,
04:15:00.000+08:00,04:30:00.000+08:00,,15.750000307467706,,,,,,,,,,,,,,,,
04:30:00.000+08:00,04:45:00.000+08:00,,15.750000276531093,,,,,,,,,,,23,,,,,
04:45:00.000+08:00,05:00:00.000+08:00,,15.749999256736425,,,,,,,,,,,,,,,,
05:00:00.000+08:00,05:15:00.000+08:00,,15.749999256736425,,,,,,,,,,,,,,,,
05:15:00.000+08:00,05:30:00.000+08:00,,15.749999256736425,,,,,,,,,,,,,,,,
05:30:00.000+08:00,05:45:00.000+08:00,,15.749999256736425,,,,,,,,,,,,,,,,
05:45:00.000+08:00,06:00:00.000+08:00,,15.749999256736425,,,,,,,,,,,,,,,,
06:00:00.000+08:00,06:15:00.000+08:00,,15.749999256736425,,,,,,,,,,,,,,,,
06:15:00.000+08:00,06:30:00.000+08:00,,15.749999256736425,,,,,,,,,,,,,,,,
06:30:00.000+08:00,06:45:00.000+08:00,,15.749999256736425,,,,,,,,,,,,,,,,
06:45:00.000+08:00,07:00:00.000+08:00,,15.749999256736425,,,,,,,,,,,,,,,,
07:00:00.000+08:00,07:15:00.000+08:00,,15.749999256736425,,,,,,,,,,,,,,,,
07:15:00.000+08:00,07:30:00.000+08:00,,15.749999256736425,,,,,,,,,,,,,,,,
07:30:00.000+08:00,07:45:00.000+08:00,,15.749999256736425,,,,,,,,,,,,,,,,
07:45:00.000+08:00,08:00:00.000+08:00,,15.749999256736425,,,,,,,,,,,,,,,,
08:00:00.000+08:00,08:15:00.000+08:00,,15.749999256736425,,,,,,,,,,,,,,,,
08:15:00.000+08:00,08:30:00.000+08:00,,15.749999256736425,,,,,,,,,,,,,,,,
08:30:00.000+08:00,08:45:00.000+08:00,,15.749999256736425,,,,,,,,,,,,,,,,
08:45:00.000+08:00,09:00:00.000+08:00,,15.749999256736425,,,,,,,,,,,,,,,,
09:00:00.000+08:00,09:15:00.000+08:00,,15.749999256736425,,,,,,,,,,,,,,,,
09:15:00.000+08:00,09:30:00.000+08:00,,15.749999256736425,,,,,,,,,,,,,,,,
09:30:00.000+08:00,09:45:00.000+08:00,,15.749999256736425,,,,,,,,,,,,,,,,
09:45:00.000+08:00,10:00:00.000+08:00,,15.74999987943012,,,,,,,,,,,16,,,,,
10:00:00.000+08:00,10:15:00.000+08:00,,15.749999928401968,,,,,,,,,,,20,,,,,
10:15:00.000+08:00,10:30:00.000+08:00,,15.749999928401968,,,,,,,,,,,,,,,,
10:30:00.000+08:00,10:45:00.000+08:00,,15.749999928401968,,,,,,,,,,,,,,,,
10:45:00.000+08:00,11:00:00.000+08:00,,15.749999928401968,,,,,,,,,,,,,,,,
11:00:00.000+08:00,11:15:00.000+08:00,,15.749999928401968,,,,,,,,,,,,,,,,
11:15:00.000+08:00,11:30:00.000+08:00,,15.749999928401968,,,,,,,,,,,,,,,,
11:30:00.000+08:00,11:45:00.000+08:00,,15.749999928401968,,,,,,,,,,,,,,,,
11:45:00.000+08:00,12:00:00.000+08:00,,15.749999928401968,,,,,,,,,,,,,,,,
12:00:00.000+08:00,12:15:00.000+08:00,,15.749999928401968,,,,,,,,,,,,,,,,
12:15:00.000+08:00,12:30:00.000+08:00,,15.749999928401968,,,,,,,,,,,,,,,,
12:30:00.000+08:00,12:45:00.000+08:00,,15.749999928401968,,,,,,,,,,,,,,,,
12:45:00.000+08:00,13:00:00.000+08:00,,15.749999928401968,,,,,,,,,,,,,,,,
13:00:00.000+08:00,13:15:00.000+08:00,,15.749999928401968,,,,,,,,,,,,,,,,
13:15:00.000+08:00,13:30:00.000+08:00,,15.749999928401968,,,,,,,,,,,,,,,,
13:30:00.000+08:00,13:45:00.000+08:00,,15.749999928401968,,,,,,,,,,,11,,,,,
13:45:00.000+08:00,14:00:00.000+08:00,2,20.218221166183056,133.94818305969238,,,,,,,0.7994297473206698,3.387014627456665,0.2882685363292694,200,,,,80751,
14:00:00.000+08:00,14:15:00.000+08:00,,15.74999957288343,,,,,,,,9.92973744231566,13.155948638916016,4.594711780548096,,,,,,
14:15:00.000+08:00,14:30:00.000+08:00,,15.74999957288343,,,,,,,,8.091833591461182,10.617853164672852,5.565814018249512,,,,,,
14:30:00.000+08:00,14:45:00.000+08:00,,15.74999957288343,11.736648559570312,,,,,,,1.6969260184378936,1.943225622177124,0.6969597935676575,19,,,,,
14:45:00.000+08:00,15:00:00.000+08:00,,15.74999957288343,,,,,,,,11.061445805521831,18.935808181762695,4.188162326812744,,,,,,
15:00:00.000+08:00,15:15:00.000+08:00,,15.74999957288343,,,,,,,,15.84023694500887,18.41557502746582,13.60062026977539,,,,,,
15:15:00.000+08:00,15:30:00.000+08:00,,15.74999957288343,,,,,,,,4.791263555037742,6.50343656539917,3.845568895339966,,,,,,
15:30:00.000+08:00,15:45:00.000+08:00,,15.74999957288343,,,,,,,,7.830394268035889,7.830394268035889,7.830394268035889,,,,,,
15:45:00.000+08:00,16:00:00.000+08:00,,15.74999957288343,,,,,,,,2.482764959335327,2.482764959335327,2.482764959335327,,,,,,
16:00:00.000+08:00,16:15:00.000+08:00,,15.74999957288343,,,,,,,,4.249036192596278,9.100801467895508,0.9344818592071533,,,,,,
16:15:00.000+08:00,16:30:00.000+08:00,3,15.74999957288343,98.50076995107096,,,,,,,0.3519337773323059,0.3519337773323059,0.3519337773323059,171,,,,,
16:30:00.000+08:00,16:45:00.000+08:00,5,15.74999957288343,238.7142874219759,1.0,1,,,,,1.0568724572658539,1.3801648616790771,0.7335800528526306,365,,,,,
16:45:00.000+08:00,17:00:00.000+08:00,,15.74999957288343,,,,,,,,0.9786246418952942,0.9786246418952942,0.9786246418952942,,,,,,
17:00:00.000+08:00,17:15:00.000+08:00,,15.74999957288343,,,,,,,,3.5547934770584106,4.253215312957764,2.8563716411590576,,,,,,
17:15:00.000+08:00,17:30:00.000+08:00,,15.74999957288343,,,,,,,,0.9711788296699524,0.9711788296699524,0.9711788296699524,,,,,,
17:30:00.000+08:00,17:45:00.000+08:00,,15.74999957288343,,,,,,,,2.481431222219187,7.633829116821289,1.1962648630142212,1,,,,,
17:45:00.000+08:00,18:00:00.000+08:00,3,27.23142599016589,215.88345527648926,2.0,2,,,,,4.507275245459395,11.303492546081543,0.6323519945144653,322,,,,,90942
18:00:00.000+08:00,18:15:00.000+08:00,,15.749999724383862,,,,,,,,8.946832557885699,17.99704360961914,4.146553993225098,,,,,,
18:15:00.000+08:00,18:30:00.000+08:00,,15.749999724383862,,,,,,,,9.128179669380188,14.661005973815918,3.595353364944458,,,,,,
18:30:00.000+08:00,18:45:00.000+08:00,,15.749999724383862,,,,,,,,3.3710240125656132,4.740146636962891,2.001901388168335,,,,,,
18:45:00.000+08:00,19:00:00.000+08:00,2,22.764772210942546,58.74364006334695,,,,,,,0.3597181737422943,0.4105771780014038,0.3088591694831848,95,,,,126773,
19:00:00.000+08:00,19:15:00.000+08:00,7,43.52113312203628,268.94436014593725,1.0,1,,,,,0.7297123614767583,3.236398935317993,0.3088591694831848,414,,,,501888,
19:15:00.000+08:00,19:30:00.000+08:00,5,24.98863519066962,249.47675296990653,2.0,1,,,,,0.4716288367132889,1.7292746305465698,0.3088591694831848,358,,,,163323,
19:30:00.000+08:00,19:45:00.000+08:00,6,37.303660453791395,167.4888904289025,,,,,,,0.3765070725510554,0.49664297699928284,0.3088591694831848,306,,,,389524,
19:45:00.000+08:00,20:00:00.000+08:00,12,65.54999986341883,684.7467065023113,4.0,4,,,,,0.9579106850823723,1.8631436824798584,0.42217156291007996,1063,,,,900000,
20:00:00.000+08:00,20:15:00.000+08:00,3,24.02786588954844,326.7552904917072,5.0,3,,,,,7.3047686539178045,10.806680679321289,1.2734706401824951,415,,,,149600,
20:15:00.000+08:00,20:30:00.000+08:00,4,18.11234493667704,91.72194879989208,,,,,,,6.211670079848657,14.263800621032715,0.30860617756843567,166,,,,42693,
20:30:00.000+08:00,20:45:00.000+08:00,2,20.821188105351233,42.94065267105518,,,,,,,6.88099902868271,13.364189147949219,0.39780890941619873,70,,,,91648,
20:45:00.000+08:00,21:00:00.000+08:00,,15.749999375494808,,,,,,,,17.52339169829187,20.055957794189453,14.1334810256958,,,,,,
21:00:00.000+08:00,21:15:00.000+08:00,,15.749999375494808,,,,,,,,12.502289680129046,15.39262866973877,8.752634048461914,,,,,,
21:15:00.000+08:00,21:30:00.000+08:00,,15.749999375494808,,,,,,,,,,,,,,,,
21:30:00.000+08:00,21:45:00.000+08:00,11,45.809780752058074,508.9964122772217,4.0,2,,,,,0.9326953061592055,2.569256544113159,0.3088591396808624,694,,,,543249,
21:45:00.000+08:00,22:00:00.000+08:00,1,27.31654872855733,32.739070892333984,,,,,,,0.3088591694831848,0.3088591694831848,0.3088591694831848,53,,,,209034,
22:00:00.000+08:00,22:15:00.000+08:00,,15.749999445586294,,,,,,,,,,,,,,,,
22:15:00.000+08:00,22:30:00.000+08:00,,15.749999445586294,,,,,,,,,,,,,,,,
22:30:00.000+08:00,22:45:00.000+08:00,,15.749999445586294,,,,,,,,,,,,,,,,
22:45:00.000+08:00,23:00:00.000+08:00,,15.749999445586294,,,,,,,,,,,,,,,,
23:00:00.000+08:00,23:15:00.000+08:00,,15.749999445586294,,,,,,,,,,,,,,,,
23:15:00.000+08:00,23:30:00.000+08:00,,15.749999445586294,,,,,,,,,,,,,,,,
23:30:00.000+08:00,23:45:00.000+08:00,,15.749999445586294,,,,,,,,,,,,,,,,
23:45:00.000+08:00,00:00:00.000+08:00,,15.749999445586294,,,,,,,,,,,,,,,,
