日期,活动时间计数,热量（千卡）,距离（米）,心肺强化分数,心肺强化时长（分钟）,最低纬度（度）,最低经度（度）,最高纬度（度）,最高经度（度）,平均速度（米/秒）,最高速度（米/秒）,最低速度（米/秒）,步数,平均体重（公斤）,最高体重（公斤）,最低体重（公斤）,骑车时长（毫秒）,步行时长（毫秒）,跑步时长（毫秒）
2021-09-15,35,815.788043441076,1547.1785697937012,27.0,26,3.00823712348938,101.66062927246094,3.010061740875244,101.6610336303711,0.5323856404559469,4.292983531951904,0.22168861329555511,3658,70.82197089721403,73.0,69.0,,2159520,
2021-09-16,26,1541.6164239546185,1021.8963723182678,1.0,1,,,,,1.0462839727294988,6.361966609954834,0.2676779329776764,1838,,,,,535238,
2021-09-17,22,1594.232038567507,963.2607173919678,2.0,1,,,,,0.4523399506590206,2.9240617752075195,0.3088591396808624,1524,,,,,1486122,
2021-09-18,20,1550.4976083652793,640.0476450920105,,,,,,,2.470019252145408,19.704320907592773,0.2573826313018799,1371,,,,,695302,
2021-09-19,25,1552.6560482841555,801.7984027862549,,,,,,,0.3759339158404603,0.6398036479949951,0.2779732346534729,1539,,,,,734748,
2021-09-20,75,1554.6548446364045,2898.055609703064,8.0,6,,,,,0.5841729245571112,3.247838258743286,0.2573826313018799,4827,,,,,770872,
2021-09-21,19,1511.9999629036386,644.8979454040527,,,,,,,0.30859758523577047,0.606322705745697,0.2676779329776764,1180,,,,,,
2021-09-22,39,1639.9217848174778,1388.0468406677246,1.0,1,,,,,0.4036341753740997,2.993020534515381,0.2676779329776764,2392,,,,,2311840,
2021-09-23,109,1683.6026643825442,4466.5324783325195,14.0,10,,,,,3.3415349879291405,17.747894287109375,0.2573826313018799,6895,,,,,3101254,
2021-09-24,38,1588.750867222503,1522.3429880142212,4.0,4,,,,,3.5819468771551697,13.007122993469238,0.2882685363292694,2513,,,,,1387066,
2021-09-25,18,1558.1062332461606,594.1317372322083,,,,,,,0.7181921220916476,2.5271494388580322,0.3062093257904053,1166,,,,,833247,
2021-09-26,11,1540.4304019940323,394.7220125198364,,,,,,,0.6609906676707573,6.126638412475586,0.24899642169475555,840,,,,,513803,
2021-09-27,34,1532.9594697215432,922.4119567871094,,,,,,,0.6184427802608762,9.343925476074219,0.2985638380050659,1544,,,,,378786,
2021-09-28,93,1650.927834082113,2880.668438911438,2.0,2,,,,,0.7239656860015845,12.594738006591797,0.2573826313018799,5052,,,,115889,2386828,
2021-09-29,34,1627.3803447303194,1123.0958318710327,,,,,,,1.0478933384130498,11.101369857788086,0.28734055161476135,2021,,,,,2085188,
2021-09-30,48,1684.393230251803,2647.6550731658936,20.0,18,,,,,0.7622846624800104,4.938759803771973,0.2779732346534729,4073,,,,,3091413,
2021-10-01,13,1525.9953192982612,412.63585090637207,,,,,,,0.4977758484853258,2.5705227851867676,0.2573826313018799,817,,,,,252929,
2021-10-02,47,1599.2573261022203,1656.263017654419,1.0,1,,,,,1.0081226731249295,7.999298095703125,0.2573826313018799,2748,,,,,1576943,
2021-10-03,8,1511.9999125219324,298.1917915344238,,,,,,,1.1264745475794882,4.668015956878662,0.2882685363292694,538,,,,,,
2021-10-04,10,1511.9999780668768,509.4316806793213,1.0,1,,,,,0.5529837022567917,7.931262016296387,0.2676779329776764,899,,,,,,
2021-10-05,24,1527.9135914881413,905.2586727142334,1.0,1,,,,,0.40065593027238317,1.4323070049285889,0.2573826313018799,1643,,,,,287596,
2021-10-06,26,1548.261961055167,1032.7303409576416,1.0,1,,,,,2.6019269606930684,20.32462501525879,0.2985638380050659,1768,,,,,655337,
2021-10-07,11,1523.6176258170242,366.91746044158936,,,,,,,0.36105268670780105,1.1413828134536743,0.3088591396808624,740,,,,,209958,
2021-10-08,4,1536.54049810407,151.34099006652832,,,,,,,1.3181252339571128,1.9587148427963257,0.3088591694831848,271,,,,,443503,
2021-10-09,17,1511.99998784997,653.761438369751,2.0,2,,,,,0.9320735023532101,7.916942596435547,0.2573826313018799,1096,,,,,,
2021-10-10,,1511.9999105022487,,,,,,,,0.9645083546638489,0.9645083546638489,0.9645083546638489,62,,,,,,
2021-10-11,23,1543.6643281880165,967.4248538017273,4.0,2,,,,,1.610004827229023,7.277152061462402,0.2779732346534729,1580,,,,,567734,
2021-10-12,1,1511.9999285173312,24.091014862060547,,,,,,,0.5280870795249939,0.747314989566803,0.3088591694831848,134,,,,,,
2021-10-13,36,1556.2518880239945,1229.6600189208984,,,,,,,0.34637783460755794,2.3235249519348145,0.2573826313018799,2166,,,,,799734,
