开始时间,结束时间,活动时间计数,热量（千卡）,距离（米）,心肺强化分数,心肺强化时长（分钟）,最低纬度（度）,最低经度（度）,最高纬度（度）,最高经度（度）,平均速度（米/秒）,最高速度（米/秒）,最低速度（米/秒）,步数,平均体重（公斤）,最高体重（公斤）,最低体重（公斤）,步行时长（毫秒）
00:00:00.000+08:00,00:15:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
00:15:00.000+08:00,00:30:00.000+08:00,,15.749998929193735,,,,,,,,4.39418363571167,4.39418363571167,4.39418363571167,,,,,
00:30:00.000+08:00,00:45:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
00:45:00.000+08:00,01:00:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
01:00:00.000+08:00,01:15:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
01:15:00.000+08:00,01:30:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
01:30:00.000+08:00,01:45:00.000+08:00,,15.749998929193735,,,,,,,,1.0073113441467285,1.0073113441467285,1.0073113441467285,,,,,
01:45:00.000+08:00,02:00:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
02:00:00.000+08:00,02:15:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
02:15:00.000+08:00,02:30:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
02:30:00.000+08:00,02:45:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
02:45:00.000+08:00,03:00:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
03:00:00.000+08:00,03:15:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
03:15:00.000+08:00,03:30:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
03:30:00.000+08:00,03:45:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
03:45:00.000+08:00,04:00:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
04:00:00.000+08:00,04:15:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
04:15:00.000+08:00,04:30:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
04:30:00.000+08:00,04:45:00.000+08:00,,15.749998929193735,,,,,,,,0.7978194355964661,0.7978194355964661,0.7978194355964661,,,,,
04:45:00.000+08:00,05:00:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
05:00:00.000+08:00,05:15:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
05:15:00.000+08:00,05:30:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
05:30:00.000+08:00,05:45:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
05:45:00.000+08:00,06:00:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
06:00:00.000+08:00,06:15:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
06:15:00.000+08:00,06:30:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
06:30:00.000+08:00,06:45:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
06:45:00.000+08:00,07:00:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
07:00:00.000+08:00,07:15:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
07:15:00.000+08:00,07:30:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
07:30:00.000+08:00,07:45:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
07:45:00.000+08:00,08:00:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
08:00:00.000+08:00,08:15:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
08:15:00.000+08:00,08:30:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
08:30:00.000+08:00,08:45:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
08:45:00.000+08:00,09:00:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
09:00:00.000+08:00,09:15:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
09:15:00.000+08:00,09:30:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
09:30:00.000+08:00,09:45:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
09:45:00.000+08:00,10:00:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
10:00:00.000+08:00,10:15:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
10:15:00.000+08:00,10:30:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
10:30:00.000+08:00,10:45:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
10:45:00.000+08:00,11:00:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
11:00:00.000+08:00,11:15:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
11:15:00.000+08:00,11:30:00.000+08:00,,15.749998929193735,,,,,,,,,,,,,,,
11:30:00.000+08:00,11:45:00.000+08:00,,15.749998929193735,29.93486573090602,,,,,,,0.3088591694831848,0.3088591694831848,0.3088591694831848,63,,,,
11:45:00.000+08:00,12:00:00.000+08:00,1,15.749998629181498,52.22167418608617,,,,,,,0.44493287154992045,0.5810065865516663,0.3088591396808624,107,,,,
12:00:00.000+08:00,12:15:00.000+08:00,,15.749998365594951,,,,,,,,,,,,,,,
12:15:00.000+08:00,12:30:00.000+08:00,,15.749998365594951,,,,,,,,,,,,,,,
12:30:00.000+08:00,12:45:00.000+08:00,,15.749998365594951,,,,,,,,,,,,,,,
12:45:00.000+08:00,13:00:00.000+08:00,,15.749998365594951,,,,,,,,,,,,,,,
13:00:00.000+08:00,13:15:00.000+08:00,,15.749998365594951,,,,,,,,,,,,,,,
13:15:00.000+08:00,13:30:00.000+08:00,,15.749998365594951,,,,,,,,,,,,,,,
13:30:00.000+08:00,13:45:00.000+08:00,,15.749998365594951,,,,,,,,,,,,,,,
13:45:00.000+08:00,14:00:00.000+08:00,,15.749998365594951,,,,,,,,,,,,,,,
14:00:00.000+08:00,14:15:00.000+08:00,,15.749998365594951,,,,,,,,6.304832458496094,6.304832458496094,6.304832458496094,,,,,
14:15:00.000+08:00,14:30:00.000+08:00,,15.749998365594951,,,,,,,,,,,,,,,
14:30:00.000+08:00,14:45:00.000+08:00,,15.749998365594951,,,,,,,,,,,,,,,
14:45:00.000+08:00,15:00:00.000+08:00,,15.749998365594951,,,,,,,,,,,,,,,
15:00:00.000+08:00,15:15:00.000+08:00,,15.749998365594951,,,,,,,,,,,,,,,
15:15:00.000+08:00,15:30:00.000+08:00,,15.749998365594951,,,,,,,,,,,,,,,
15:30:00.000+08:00,15:45:00.000+08:00,,15.749998365594951,,,,,,,,,,,,,,,
15:45:00.000+08:00,16:00:00.000+08:00,,15.749998365594951,,,,,,,,,,,,,,,
16:00:00.000+08:00,16:15:00.000+08:00,,15.749998365594951,,,,,,,,,,,,,,,
16:15:00.000+08:00,16:30:00.000+08:00,,15.749998365594951,,,,,,,,,,,23,,,,
16:30:00.000+08:00,16:45:00.000+08:00,,15.749998365594951,,,,,,,,,,,,,,,
16:45:00.000+08:00,17:00:00.000+08:00,6,15.749998365594951,152.5764274597168,,,,,,,0.3088591560639473,0.3088591694831848,0.3088591396808624,247,,,,
17:00:00.000+08:00,17:15:00.000+08:00,,15.749998365594951,,,,,,,,12.850331783294678,15.432470321655273,10.268193244934082,,,,,
17:15:00.000+08:00,17:30:00.000+08:00,,15.749998365594951,,,,,,,,,,,,,,,
17:30:00.000+08:00,17:45:00.000+08:00,,19.702181487764342,22.23785972595215,,,,,,,0.3088591396808624,0.3088591396808624,0.3088591396808624,36,,,,71425
17:45:00.000+08:00,18:00:00.000+08:00,,15.749998956227971,,,,,,,,,,,,,,,
18:00:00.000+08:00,18:15:00.000+08:00,,15.749998956227971,,,,,,,,9.190365314483643,13.845513343811035,4.53521728515625,,,,,
18:15:00.000+08:00,18:30:00.000+08:00,,15.749998956227971,,,,,,,,,,,,,,,
18:30:00.000+08:00,18:45:00.000+08:00,,15.749998246052506,,,,,,,,,,,,,,,
18:45:00.000+08:00,19:00:00.000+08:00,1,15.749998055157784,30.88591766357422,,,,,,,0.6948879063129425,1.0809166431427002,0.3088591694831848,70,,,,
19:00:00.000+08:00,19:15:00.000+08:00,,15.749998055157784,,,,,,,,,,,,,,,
